date,actual_pnl_eur,mc_volatility_eur,mc_var_eur,mc_es_eur,mc_exception
2022-10-25,13603.431030263126,5799.154993757876,13590.386347307323,15585.259965274181,False
2022-10-26,4955.46825473035,5860.8612041749175,13734.995560287232,15751.09573477106,False
2022-10-27,4147.410458716522,5870.480828020982,13757.539259278637,15776.94852514663,False
2022-10-28,-106.24422691545284,5876.826709748265,13772.41090600664,15794.003116123255,False
2022-10-31,-5425.232869863234,5875.04297930515,13768.23071322209,15789.209331047006,False
2022-11-01,1860.137217995783,5878.25640293954,13775.761408424398,15797.845424197549,False
2022-11-02,-8791.865324007442,5878.631813585459,13776.641187585747,15798.854342310045,False
2022-11-03,-6049.854042128461,5881.605172708,13783.609288846726,15806.845260805036,False
2022-11-04,1842.3313983239275,5873.592244637108,13764.830899861809,15785.310473891714,False
2022-11-07,2479.611206958665,5875.527077975432,13769.365204017118,15790.510348804475,False
2022-11-08,9903.672405961584,5870.547904092644,13757.696452823133,15777.128792446852,False
2022-11-09,-3675.0166597494367,5901.479663011143,13830.18538518598,15860.25805946022,False
2022-11-10,28630.938613075345,5904.151505071751,13836.446877748556,15867.438649243653,False
2022-11-11,5758.359121661772,6190.562639238904,14507.654660898315,16637.170099385763,False
2022-11-14,141.0111902624855,6200.257395659753,14530.374433941835,16663.224808956653,False
2022-11-15,7334.330108134801,6199.715775832467,14529.105141654582,16661.769202783053,False
2022-11-16,5056.772126274995,6217.402770758285,14570.5548174476,16709.303095948533,False
2022-11-17,-4303.5669709011845,6226.364494442228,14591.556719851258,16733.38777613065,False
2022-11-18,-2602.398602090433,6227.744611386057,14594.791039763606,16737.09684777561,False
2022-11-21,-1078.118509103232,6205.185960501239,14541.924582266143,16676.470353245943,False
2022-11-22,6148.283124229315,6196.183796145462,14520.827906683468,16652.27698854265,False
2022-11-23,9019.165996618029,6199.311293253843,14528.157232084968,16660.682153696405,False
2022-11-25,937.7197731622432,6228.127758321245,14595.688949007728,16738.126557206764,False
2022-11-28,-5108.946550796284,6226.834461706858,14592.658093534801,16734.650815660087,False
2022-11-29,-3630.2296505025697,6233.290239748976,14607.787283539084,16752.00075356877,False
2022-11-30,11592.001780433924,6235.999538236664,14614.136555668816,16759.282007699687,False
2022-12-01,14111.263430924064,6279.003120717439,14714.915945228346,16874.854364900417,False
2022-12-02,4943.182356633773,6344.488392032043,14868.381430834725,17050.84638070844,False
2022-12-05,-10973.8464383808,6353.523649256801,14889.555659936022,17075.128682673563,False
2022-12-06,-225.5191825859812,6384.173903601211,14961.384883095629,17157.50140464316,False
2022-12-07,7467.497444138144,6378.953060926171,14949.14977831076,17143.470362117845,False
2022-12-08,2107.8160405310964,6398.770759253147,14995.592782001453,17196.730532034282,False
2022-12-09,-8257.450915169982,6399.840470266189,14998.099662049126,17199.605386085248,False
2022-12-12,2615.192350088647,6414.88543291823,15033.357704857455,17240.038803428342,False
2022-12-13,7722.577818301057,6413.516690286859,15030.150040777016,17236.36030030876,False
2022-12-14,928.8875475966852,6433.715627006309,15077.486481020054,17290.645050437633,False
2022-12-15,-6463.480520536664,6434.171485593331,15078.554790855547,17291.870172820774,False
2022-12-16,-5666.750546845489,6444.370611464696,15102.456559500437,17319.28037797909,False
2022-12-19,-8627.73888542694,6438.962945497477,15089.783632184166,17304.74724685995,False
2022-12-20,-1937.5466687096991,6453.402246441026,15123.622299820932,17343.552945132247,False
2022-12-21,4477.4923827263565,6442.5773606313305,15098.254055571968,17314.46100680328,False
2022-12-22,-5755.433382815783,6450.434370645975,15116.667048800917,17335.576763109126,False
2022-12-23,-2637.542106553525,6450.535312232772,15116.90360656917,17335.848044161838,False
2022-12-27,-4957.494349547314,6451.264236913361,15118.61184993186,17337.80703312735,False
2022-12-28,-5607.762500803981,6454.931894144709,15127.207046786774,17347.663881491568,False
2022-12-29,8596.28076020581,6456.732668056972,15131.427181137064,17352.503470982025,False
2022-12-30,-2701.251832343532,6482.914788765974,15192.785281793138,17422.86805998356,False
2023-01-03,6246.525833168149,6467.903543543737,15157.606256168894,17382.525258412836,False
2023-01-04,5000.724030710335,6482.157617938384,15191.010843260467,17420.833159347378,False
2023-01-05,-2338.348053533307,6477.969669234919,15181.196337363648,17409.57802487779,False
2023-01-06,12471.499176275967,6478.966300002405,15183.53195301633,17412.256475379178,False
2023-01-09,4341.258091132272,6529.365377755114,15301.642770703487,17547.704265554043,False
2023-01-10,-1217.859764912277,6534.759655047949,15314.284321507535,17562.201414539388,False
2023-01-11,8041.742105060772,6523.309444837879,15287.450622342702,17531.428913550353,False
2023-01-12,9053.95011073501,6545.270393175067,15338.916357053517,17590.44907929647,False
2023-01-13,1708.9708625577568,6572.806591187518,15403.447753425571,17664.45275827061,False
2023-01-17,-3933.274220017335,6568.838162757462,15394.147695811289,17653.787585706228,False
2023-01-18,2211.7184841369485,6546.074326732283,15340.800384580267,17592.60965501785,False
2023-01-19,-1233.5192527770655,6547.917037747479,15345.118799013044,17597.561950696036,False
2023-01-20,-38.92745444503674,6548.00451650369,15345.32380648316,17597.797050319765,False
2023-01-23,2447.529149811312,6546.83058765155,15342.57269073233,17594.64211027056,False
2023-01-24,4758.223923145488,6549.217161213057,15348.165653290162,17601.056039441686,False
2023-01-25,1766.4916058514837,6554.350342288782,15360.195322109994,17614.851490951452,False
2023-01-26,616.2140458120855,6541.783919978563,15330.745767065662,17581.079163991923,False
2023-01-27,-897.2115333515885,6541.30080963686,15329.613592430014,17579.78080237278,False
2023-01-30,-5039.778832921205,6535.346015775939,15315.658464609563,17563.77726212218,False
2023-01-31,6237.626150020503,6536.608706143373,15318.617593991157,17567.170749216984,False
2023-02-01,8341.804475930814,6547.883524173114,15345.040259566522,17597.47188278624,False
2023-02-02,3711.98116933128,6562.900515987582,15380.232752395677,17637.830128354228,False
2023-02-03,-12844.155554494446,6549.7190201552485,15349.341765486435,17602.404788024603,False
2023-02-06,-5533.191783286812,6597.844186831728,15462.123646444248,17731.741430058213,False
2023-02-07,-113.82382313821498,6605.67963834594,15480.486117079772,17752.7992477792,False
2023-02-08,-954.4864651691296,6605.572141770761,15480.234197620945,17752.510350160264,False
2023-02-09,-6455.492482450258,6598.951746092846,15464.719224296081,17734.718001477682,False
2023-02-10,-1993.3286691048988,6582.9705599550325,15427.26713099371,17691.76847852488,False
2023-02-13,3495.463997478826,6581.681454266359,15424.246097003337,17688.3040001134,False
2023-02-14,294.60742292943826,6580.591869950336,15421.69264364183,17685.375736454716,False
2023-02-15,-3381.60776455384,6580.019229083721,15420.350653192543,17683.836761072518,False
2023-02-16,-8634.385707702979,6575.714741211782,15410.26303641563,17672.2684269663,False
2023-02-17,1670.010274223527,6596.494537168084,15458.960726953017,17728.114239391198,False
2023-02-21,-11090.830643789312,6596.941761705339,15460.00880279369,17729.316157719553,False
2023-02-22,987.6903777712942,6630.179827404592,15537.902591591588,17818.64363650281,False
2023-02-23,3314.3505928243108,6615.279342590879,15502.98313425711,17778.598504120542,False
2023-02-24,-7796.396865310062,6616.766646105837,15506.468647130236,17782.595640246895,False
2023-02-27,1454.4693824333765,6629.394781483964,15536.062827458158,17816.533821405465,False
2023-02-28,2191.9687880307406,6612.2342837055685,15495.847003778408,17770.414892130826,False
2023-03-01,-3954.869978065484,6610.719500003052,15492.297090770055,17766.34390285389,False
2023-03-02,928.9125785699404,6593.736977062145,15452.498353166497,17720.703281903912,False
2023-03-03,11588.300826322697,6591.9615016605885,15448.337506166672,17715.931682295868,False
2023-03-06,-2409.915766978754,6627.770220572175,15532.255650298777,17812.16780529331,False
2023-03-07,-3445.2092990807814,6595.455452093321,15456.525619143526,17725.32169271265,False
2023-03-08,-1942.5267950372856,6598.202015240517,15462.9622214309,17732.70309581468,False
2023-03-09,-2421.805820785389,6598.906090572649,15464.612230060018,17734.59530202373,False
2023-03-10,10639.801362936596,6599.598002651243,15466.23373396474,17736.45481942404,False
2023-03-13,5637.338361459742,6631.659100231855,15541.369284455843,17822.619190113168,False
2023-03-14,-894.1713254310648,6596.600206763161,15459.208364862989,17728.39822699137,False
2023-03-15,5449.42538287611,6594.591037043187,15454.499852543322,17722.998572656583,False
