date,realised_pnl,realised_loss,delta_normal_var,delta_normal_es,delta_gamma_var,delta_gamma_es,full_revaluation_var,full_revaluation_es
2024-04-19,698.8532858388498,-698.8532858388498,2886.930320351068,3287.8928655482423,2624.959781452392,2855.5087088211353,2514.3607328587927,2727.948278493448
2024-04-22,-1852.1531885525983,1852.1531885525983,2915.5424567015816,3320.2425893470026,2758.662754338955,3055.802116413449,2615.170086174048,2855.4169400650517
2024-04-23,-994.4653289979979,994.4653289979979,2834.852737858166,3228.735727056304,2536.090371002211,3047.880449439282,2440.0598427493637,2921.215217280564
2024-04-24,-157.5542919718864,157.5542919718864,2761.29558117068,3145.459293010332,2627.723334258876,2928.6359972407636,2516.7442449671366,2847.6089643654313
2024-04-25,339.43232170693955,-339.43232170693955,2757.677855794933,3141.251681593851,2545.9098006919144,3009.0376862697717,2499.665788408957,2970.2681680459445
2024-04-26,429.88336182408966,-429.88336182408966,2777.523627820452,3163.7350267413376,2615.962862319555,2848.789450027456,2551.8524383394783,2815.187354386787
2024-04-29,375.3445681730009,-375.3445681730009,2782.4299307469105,3169.0133862511734,2727.634666466747,3042.644569616794,2658.715563141171,2969.040441865292
2024-04-30,1579.96180742461,-1579.96180742461,2802.0272063167895,3191.223776261576,2563.607621367953,2980.7527542053986,2452.735949573453,2934.810505658511
2024-05-01,1751.845211237065,-1751.845211237065,2903.0710738757866,3306.044884354185,2929.2763228545605,3312.653497001657,2742.357526489485,3125.904111033479
2024-05-02,990.7444212145274,-990.7444212145274,3013.0096693782975,3430.99646271486,2803.3008369536446,3100.4700726945803,2712.6082715489374,2948.7007044930465
2024-05-03,1121.4436123285195,-1121.4436123285195,3081.174199263029,3508.4675952109737,2856.5349290458075,3286.0086787083337,2736.908310096564,3147.611693213748
2024-05-06,-1080.773107211775,1080.773107211775,3132.8843403599462,3567.1015321554755,3003.1273179452514,3290.5163862713516,2788.3661368265457,3174.0822593439716
2024-05-07,289.3363667078884,-289.3363667078884,3072.073830977189,3497.967541776823,2907.62016980411,3511.021859071369,2788.575827353667,3315.4934905339046
2024-05-08,-186.99723736882152,186.99723736882152,3100.8159170704275,3530.645922279275,3019.191767807291,3408.394803829113,2860.364779213161,3212.1037906090896
2024-05-09,801.481507579636,-801.481507579636,3095.4789579656244,3524.5577322094796,2769.9692110970987,3158.5854394222874,2600.549338254406,2999.6850722131758
2024-05-10,1292.2149194257145,-1292.2149194257145,3152.107879299208,3588.910569678979,2883.083662685347,3166.526220533434,2789.437219698804,3054.085777382093
