date,actual_pnl_eur,fhs_forecast_volatility_eur,fhs_residual_skewness,fhs_residual_excess_kurtosis,fhs_var_eur,fhs_es_eur,fhs_exception
2019-10-28,-2964.355579958039,2632.469272781644,0.16849678671234022,0.09462012447894219,5118.856033960507,5244.783784437165,False
2019-10-29,-24.80038505958686,2653.553311434257,0.17980661508069798,0.07179742612673445,5159.853775680383,5285.8507604573915,False
2019-10-30,6263.045957684255,2572.722587253814,0.18077576080554825,0.07076500677383057,5002.67748197136,5123.804274872548,False
2019-10-31,5594.596622607545,2928.3634069784644,0.20329223906463073,0.07309517165087209,5694.2231593684155,5830.8323097772545,False
2019-11-01,1576.6097586227602,3152.5806025503293,0.2055887025022086,0.034373111343047213,6130.214130413206,6274.6137097115525,False
2019-11-04,-3205.937180267532,3080.8408277028275,0.210145673121167,0.04926263368478212,5990.716696019441,6134.792680020808,False
2019-11-05,-6758.502337574246,3088.4893915307553,0.218420503438819,0.08240012745465508,6005.591986957384,6157.496036187888,True
2019-11-06,1539.337029713472,3421.5613903385206,0.1804029802591501,0.0798920014329636,6691.298613328457,7167.317553900248,False
2019-11-07,-6953.271315618603,3338.6870576423707,0.17755996401119142,0.07148033019707167,6518.108900510572,6992.26571022615,True
2019-11-08,-2516.2375325303024,3657.717803886298,0.1477029533548394,0.09785268739221475,7472.538981969852,7766.780905620236,False
2019-11-11,-587.8620964859693,3599.451750585814,0.16048282353272636,0.08103272687580487,7353.503231017204,7643.05879884019,False
2019-11-12,2545.92050930309,3492.7674719211036,0.15887547505070357,0.08464242305933345,7135.5526022469085,7416.525933417189,False
2019-11-13,2209.514177948313,3443.306736112415,0.14771517272279874,0.09534620771881608,7034.509022491226,7311.501765441334,False
2019-11-14,4108.627624696426,3381.9959772525967,0.13881791440831184,0.08971909508624076,6909.254047604245,7181.314766453714,False
2019-11-15,1236.195603427859,3429.93768923559,0.13444661504396743,0.08944363731961102,7007.195138413156,7283.11363121585,False
2019-11-18,1801.598944687388,3339.205754844614,0.12587777980760964,0.11501778892753478,6821.833728378336,7090.4537512098605,False
2019-11-19,2815.8075800080564,3267.4183529903685,0.13126206171560506,0.13586368347209232,6675.17662955812,6938.020961501437,False
2019-11-20,2388.394358014206,3242.0962130664484,0.11878244645103672,0.11609170906335198,6623.443723176174,6884.251815118244,False
2019-11-21,-3122.057874131673,3197.30855322481,0.10702175195783525,0.1494873128807841,6531.946201811611,6789.150248755419,False
2019-11-22,425.3769990247514,3192.8435552857063,0.12071259044985276,0.14863458347874703,6522.823319545689,6779.669037431321,False
2019-11-25,1315.1708311595237,3097.3297915330013,0.12819524457483952,0.17892442228772376,6327.692536784578,6576.855367571488,False
2019-11-26,2894.330386965483,3020.202803831103,0.05383817387650631,0.07310892233532318,6170.12726801913,6413.084605305812,False
2019-11-27,-404.3117575035892,3012.7988461250466,0.05123264617308704,0.0719844980708193,6154.997820363429,6397.362264453799,False
2019-11-29,-832.3039974900248,2922.6952314581163,0.06415661657920248,0.08544127212567965,5970.92161814226,6206.036919874116,False
2019-12-02,-6067.465122632331,2840.982690282858,0.07901801642024485,0.10075064084397267,5803.984872562982,6032.528428144206,True
2019-12-03,7140.889698628189,3129.8178787684888,0.056038675602610596,0.09863056828830263,6518.272319128005,6734.23906661195,False
2019-12-04,-1547.0003272332056,3502.506546457476,0.05818722173162204,0.07980522051772265,7294.447854434623,7536.131207530443,False
2019-12-05,-963.31346383981,3416.8833572061812,0.07467755361400673,0.10415320613209911,7116.125573606068,7351.900683511967,False
2019-12-06,-461.817256781821,3321.184317038182,0.08500650007663156,0.11042569517915268,6916.81870046713,7145.990312977962,False
2019-12-09,-1017.4138600045844,3221.994075345298,0.09442008790546004,0.1127962654640946,6710.24155705707,6932.568745729722,False
2019-12-10,278.5266691631261,3133.764414091854,0.10266079919445291,0.1158796414558605,6526.490728784459,6742.7298277805685,False
2019-12-11,4602.299535518606,3039.0633041116216,0.1015220033067274,0.12598247668363172,6329.262192974237,6538.966654300006,False
