date,actual_pnl_eur,historical_var_eur,parametric_var_eur,historical_exception,parametric_exception
2024-12-18,-14503.978237608699,10350.621838958295,9466.638699844476,True,True
2024-12-19,-7165.319730352897,10670.1783620785,9712.82469497842,False,False
2024-12-20,6560.007098120568,10670.1783620785,9774.058992652492,False,False
2024-12-23,-646.322030657387,10670.1783620785,9817.55844620245,False,False
2024-12-24,3823.8420225065956,10670.1783620785,9808.259720646223,False,False
2024-12-26,737.9148273100377,10670.1783620785,9773.949673925374,False,False
2024-12-27,-5667.283461812456,10670.1783620785,9769.664872146268,False,False
2024-12-30,-801.448582303987,10670.1783620785,9784.638042814327,False,False
2024-12-31,-2025.746027231074,10670.1783620785,9765.587082784656,False,False
2025-01-02,1204.8844617979337,10670.1783620785,9753.02650025254,False,False
2025-01-03,-629.1815414004311,10670.1783620785,9716.989324389055,False,False
2025-01-06,638.3579764309588,10670.1783620785,9711.259019598141,False,False
2025-01-07,-3791.7028871210287,10670.1783620785,9683.760673469598,False,False
2025-01-08,760.3940550868883,10670.1783620785,9696.17067243903,False,False
2025-01-10,-5297.5932705551895,10670.1783620785,9695.387230350398,False,False
2025-01-13,-2242.9469171872715,10670.1783620785,9723.744023922947,False,False
2025-01-14,1046.2433609049638,10670.1783620785,9729.723651136932,False,False
2025-01-15,11651.585038239597,10670.1783620785,9648.633046600387,False,False
2025-01-16,1299.5112668140573,10670.1783620785,9764.058923561257,False,False
2025-01-17,2360.806646399016,10670.1783620785,9764.844534619966,False,False
2025-01-21,9600.00294819341,10670.1783620785,9751.020970047119,False,False
2025-01-22,323.88476927235337,10670.1783620785,9842.898318283505,False,False
2025-01-23,-1097.7214936498617,10670.1783620785,9839.870006543828,False,False
2025-01-24,1662.9525938349043,10670.1783620785,9828.664045348361,False,False
2025-01-27,-564.0611939387475,10670.1783620785,9812.985823100436,False,False
2025-01-28,2812.3824865663555,10670.1783620785,9809.492939948906,False,False
